,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[PPSU],0.037,0.025,-0.006,0.086,0.001,0.001,661.0,768.0,1.0
beta[PSTRAT],-0.011,0.02,-0.052,0.029,0.001,0.0,1312.0,973.0,1.0
beta[SPOUSAGETC_A],0.008,0.027,-0.043,0.068,0.001,0.001,1636.0,1064.0,1.0
beta[EMPDYSMSS3_A],-0.008,0.018,-0.045,0.026,0.0,0.0,1501.0,1076.0,1.0
beta[EMPWKHRS3_A],0.03,0.029,-0.027,0.085,0.001,0.001,707.0,666.0,1.0
beta[EMDOCCUPN2_A],-0.014,0.03,-0.077,0.042,0.001,0.001,1607.0,997.0,1.0
beta[EMDOCCUPN1_A],-0.013,0.028,-0.073,0.043,0.001,0.001,1472.0,961.0,1.0
beta[EMDINDSTN2_A],0.009,0.025,-0.044,0.058,0.001,0.001,1363.0,896.0,1.0
beta[EMDINDSTN1_A],0.01,0.023,-0.031,0.06,0.001,0.0,1340.0,839.0,1.0
beta[WEIGHTLBTC_A],0.008,0.023,-0.044,0.054,0.001,0.0,1353.0,959.0,1.0
beta[HEIGHTTC_A],0.005,0.023,-0.043,0.052,0.001,0.001,1344.0,807.0,1.0
beta[HICOSTR1_A],-0.021,0.028,-0.089,0.018,0.001,0.001,977.0,863.0,1.0
beta[AGEP_A],0.01,0.033,-0.055,0.085,0.001,0.001,1597.0,728.0,1.0
beta[CVDVAC1M1_A],-0.002,0.018,-0.042,0.036,0.001,0.0,1274.0,1039.0,1.0
beta[WTFA_A],-0.018,0.027,-0.076,0.03,0.001,0.001,1107.0,908.0,1.0
beta[POVRATTC_A],-0.021,0.032,-0.099,0.03,0.001,0.001,1182.0,862.0,1.0
beta[URBRRL_2.0],-0.034,0.049,-0.131,0.043,0.001,0.001,1113.0,931.0,1.0
beta[URBRRL_3.0],0.042,0.051,-0.029,0.149,0.002,0.001,931.0,816.0,1.0
beta[URBRRL_4.0],0.049,0.063,-0.036,0.195,0.002,0.001,1218.0,1122.0,1.0
beta[RATCAT_A_2.0],0.003,0.049,-0.098,0.099,0.001,0.001,1590.0,949.0,1.0
beta[RATCAT_A_3.0],-0.037,0.076,-0.205,0.079,0.002,0.002,1394.0,939.0,1.0
beta[RATCAT_A_4.0],0.026,0.062,-0.103,0.151,0.002,0.001,1473.0,904.0,1.0
beta[RATCAT_A_5.0],-0.02,0.053,-0.153,0.064,0.001,0.001,2085.0,926.0,1.0
beta[RATCAT_A_6.0],0.01,0.05,-0.086,0.13,0.001,0.001,1923.0,859.0,1.0
beta[RATCAT_A_7.0],0.004,0.048,-0.093,0.113,0.001,0.001,1798.0,850.0,1.0
beta[RATCAT_A_8.0],-0.008,0.043,-0.112,0.067,0.001,0.001,1906.0,815.0,1.0
beta[RATCAT_A_9.0],0.045,0.063,-0.058,0.186,0.002,0.001,1124.0,838.0,1.0
beta[RATCAT_A_10.0],0.002,0.042,-0.089,0.09,0.001,0.001,1584.0,815.0,1.0
beta[RATCAT_A_11.0],-0.021,0.053,-0.131,0.087,0.001,0.001,1544.0,953.0,1.0
beta[RATCAT_A_12.0],0.021,0.058,-0.081,0.154,0.002,0.001,1547.0,883.0,1.0
beta[RATCAT_A_13.0],-0.009,0.047,-0.137,0.075,0.001,0.001,1894.0,808.0,1.0
beta[RATCAT_A_14.0],-0.015,0.043,-0.119,0.054,0.001,0.001,1826.0,731.0,1.0
beta[INCTCFLG_A_1.0],0.003,0.056,-0.105,0.136,0.002,0.001,1733.0,745.0,1.0
beta[IMPINCFLG_A_1.0],0.001,0.049,-0.096,0.112,0.002,0.001,1256.0,567.0,1.0
beta[IMPINCFLG_A_2.0],-0.005,0.041,-0.104,0.067,0.001,0.001,1806.0,859.0,1.0
beta[LANGHM_A_2.0],-0.045,0.064,-0.193,0.053,0.002,0.001,1619.0,958.0,1.01
beta[LANGHM_A_8.0],-0.039,0.09,-0.238,0.113,0.003,0.002,1570.0,883.0,1.0
beta[HISPALLP_A_2.0],0.016,0.047,-0.072,0.121,0.001,0.001,1274.0,1089.0,1.0
beta[HISPALLP_A_3.0],-0.045,0.071,-0.201,0.071,0.002,0.002,1014.0,847.0,1.0
beta[HISPALLP_A_4.0],-0.032,0.07,-0.182,0.099,0.002,0.002,1367.0,622.0,1.0
beta[HISPALLP_A_5.0],0.008,0.069,-0.141,0.147,0.002,0.002,1502.0,792.0,1.0
beta[HISPALLP_A_6.0],-0.008,0.066,-0.137,0.131,0.002,0.002,1493.0,918.0,1.0
beta[HISPALLP_A_7.0],0.013,0.069,-0.112,0.168,0.002,0.002,1450.0,852.0,1.0
beta[RACEALLP_A_2.0],-0.055,0.078,-0.217,0.058,0.002,0.002,1219.0,955.0,1.0
beta[RACEALLP_A_3.0],-0.037,0.075,-0.191,0.091,0.002,0.002,1700.0,886.0,1.0
beta[RACEALLP_A_4.0],0.003,0.056,-0.144,0.115,0.002,0.001,1536.0,729.0,1.0
beta[RACEALLP_A_5.0],-0.009,0.065,-0.151,0.117,0.002,0.002,1658.0,772.0,1.0
beta[RACEALLP_A_6.0],-0.004,0.056,-0.126,0.112,0.002,0.001,1514.0,919.0,1.0
beta[RACEALLP_A_7.0],0.003,0.079,-0.174,0.137,0.003,0.002,1191.0,732.0,1.01
beta[RACEALLP_A_8.0],0.056,0.083,-0.057,0.259,0.002,0.002,1446.0,784.0,1.0
beta[RACEALLP_A_9.0],0.005,0.071,-0.137,0.158,0.002,0.002,1466.0,820.0,1.0
beta[DISAB3_A_2.0],-0.007,0.046,-0.105,0.095,0.001,0.001,1546.0,821.0,1.0
beta[DISAB3_A_9.0],-0.003,0.077,-0.145,0.167,0.002,0.002,1350.0,751.0,1.0
beta[AFNOW_2.0],0.028,0.086,-0.111,0.207,0.003,0.002,1344.0,731.0,1.0
beta[CITZNSTP_A_2.0],-0.015,0.057,-0.138,0.1,0.002,0.001,1516.0,917.0,1.01
beta[CITZNSTP_A_7.0],-0.004,0.072,-0.158,0.142,0.002,0.002,2020.0,919.0,1.0
beta[CITZNSTP_A_8.0],-0.012,0.071,-0.143,0.147,0.002,0.002,1355.0,797.0,1.01
beta[CITZNSTP_A_9.0],0.007,0.075,-0.135,0.162,0.002,0.002,1435.0,698.0,1.0
beta[SPOUSEDUCP_A_2.0],0.011,0.072,-0.132,0.173,0.002,0.002,1668.0,874.0,1.01
beta[SPOUSEDUCP_A_3.0],0.011,0.064,-0.131,0.129,0.002,0.001,1635.0,843.0,1.0
beta[SPOUSEDUCP_A_4.0],0.007,0.043,-0.076,0.102,0.001,0.001,1223.0,959.0,1.0
beta[SPOUSEDUCP_A_5.0],0.107,0.105,-0.034,0.344,0.003,0.002,915.0,952.0,1.0
beta[SPOUSEDUCP_A_6.0],-0.007,0.06,-0.142,0.113,0.002,0.001,1455.0,955.0,1.0
beta[SPOUSEDUCP_A_7.0],-0.004,0.052,-0.121,0.101,0.002,0.001,1768.0,796.0,1.0
beta[SPOUSEDUCP_A_8.0],-0.055,0.066,-0.209,0.03,0.002,0.002,1052.0,850.0,1.0
beta[SPOUSEDUCP_A_9.0],-0.022,0.059,-0.155,0.092,0.002,0.001,1292.0,739.0,1.0
beta[SPOUSEDUCP_A_10.0],-0.011,0.063,-0.155,0.1,0.002,0.002,1393.0,686.0,1.0
beta[SPOUSEDUCP_A_97.0],-0.002,0.073,-0.139,0.156,0.002,0.002,1868.0,859.0,1.0
beta[SPOUSEDUCP_A_99.0],0.002,0.073,-0.139,0.171,0.003,0.002,1217.0,617.0,1.0
beta[LEGMSTAT_A_2.0],0.026,0.052,-0.073,0.14,0.001,0.001,1477.0,747.0,1.0
beta[LEGMSTAT_A_3.0],-0.008,0.045,-0.122,0.079,0.001,0.001,1368.0,886.0,1.0
beta[LEGMSTAT_A_4.0],0.005,0.044,-0.088,0.103,0.001,0.001,1484.0,787.0,1.0
beta[LEGMSTAT_A_5.0],-0.026,0.062,-0.163,0.093,0.002,0.002,1382.0,712.0,1.0
beta[LEGMSTAT_A_9.0],-0.019,0.081,-0.195,0.129,0.003,0.002,1437.0,779.0,1.0
beta[MARSTAT_A_2.0],0.009,0.055,-0.125,0.113,0.001,0.001,1849.0,940.0,1.0
beta[MARSTAT_A_3.0],-0.002,0.069,-0.155,0.142,0.002,0.002,1423.0,828.0,1.0
beta[MARSTAT_A_4.0],-0.018,0.057,-0.147,0.093,0.002,0.001,1297.0,878.0,1.0
beta[MARSTAT_A_5.0],0.032,0.06,-0.066,0.168,0.002,0.001,1590.0,854.0,1.0
beta[MARSTAT_A_6.0],0.023,0.068,-0.087,0.183,0.002,0.001,1442.0,890.0,1.0
beta[MARSTAT_A_7.0],-0.011,0.045,-0.102,0.086,0.001,0.001,1416.0,699.0,1.0
beta[MARSTAT_A_8.0],-0.009,0.054,-0.131,0.094,0.002,0.001,1559.0,828.0,1.0
beta[MARSTAT_A_9.0],-0.014,0.071,-0.169,0.129,0.002,0.002,1453.0,711.0,1.0
beta[SASPPRACE_A_2.0],-0.014,0.051,-0.113,0.101,0.001,0.001,1535.0,813.0,1.0
beta[SASPPHISP_A_2.0],0.003,0.053,-0.102,0.116,0.001,0.001,1774.0,732.0,1.01
beta[SPOUSWRK_A_2.0],-0.048,0.068,-0.192,0.053,0.002,0.001,1607.0,844.0,1.0
beta[SPOUSWRK_A_7.0],0.003,0.078,-0.145,0.155,0.003,0.002,1322.0,753.0,1.0
beta[SPOUSWRK_A_8.0],0.002,0.079,-0.175,0.132,0.002,0.002,1646.0,890.0,1.0
beta[SPOUSWRK_A_9.0],-0.001,0.066,-0.138,0.144,0.002,0.001,1690.0,843.0,1.0
beta[SPOUSESEX_A_2.0],-0.017,0.047,-0.123,0.069,0.001,0.001,1665.0,828.0,1.0
beta[PCNTADWFP1_A_1.0],0.006,0.033,-0.057,0.082,0.001,0.001,1533.0,777.0,1.0
beta[PCNTADWFP1_A_2.0],-0.013,0.044,-0.12,0.065,0.001,0.001,1536.0,946.0,1.0
beta[PCNTADWFP1_A_3.0],-0.027,0.071,-0.203,0.071,0.002,0.001,1155.0,658.0,1.0
beta[PCNTADWFP1_A_5.0],0.009,0.071,-0.139,0.155,0.002,0.002,2099.0,938.0,1.0
beta[PCNTADWFP1_A_6.0],0.022,0.078,-0.11,0.199,0.003,0.002,1227.0,712.0,1.0
beta[PCNTADWFP1_A_7.0],-0.009,0.081,-0.168,0.159,0.003,0.002,1437.0,910.0,1.0
beta[PCNTADWFP1_A_8.0],-0.016,0.071,-0.182,0.11,0.002,0.002,1851.0,824.0,1.0
beta[PCNTADWKP1_A_1.0],-0.016,0.041,-0.102,0.069,0.001,0.001,1245.0,919.0,1.0
beta[PCNTADWKP1_A_2.0],0.007,0.043,-0.077,0.107,0.001,0.001,1320.0,780.0,1.0
beta[PCNTADWKP1_A_3.0],-0.014,0.051,-0.133,0.077,0.001,0.001,1921.0,861.0,1.0
beta[PCNTADWKP1_A_5.0],0.001,0.082,-0.159,0.175,0.002,0.002,1642.0,768.0,1.0
beta[PCNTADWKP1_A_6.0],0.016,0.082,-0.143,0.153,0.003,0.002,1409.0,531.0,1.0
beta[PCNTADWKP1_A_7.0],-0.004,0.075,-0.169,0.138,0.002,0.002,1572.0,930.0,1.0
beta[PCNTADWKP1_A_8.0],-0.012,0.073,-0.163,0.128,0.002,0.002,1195.0,747.0,1.0
beta[FDSCAT4_A_2.0],0.012,0.047,-0.068,0.133,0.001,0.001,1466.0,599.0,1.0
beta[FDSCAT4_A_3.0],-0.008,0.051,-0.124,0.092,0.001,0.001,1804.0,769.0,1.0
beta[FDSCAT4_A_4.0],0.042,0.08,-0.068,0.235,0.002,0.002,1608.0,661.0,1.0
beta[FDSCAT4_A_8.0],-0.011,0.065,-0.169,0.099,0.002,0.002,1472.0,915.0,1.01
beta[FDSCAT3_A_2.0],-0.007,0.055,-0.134,0.101,0.002,0.001,1266.0,744.0,1.0
beta[FDSCAT3_A_3.0],0.038,0.074,-0.077,0.209,0.002,0.002,1624.0,955.0,1.0
beta[FDSCAT3_A_8.0],-0.015,0.072,-0.159,0.115,0.003,0.002,1555.0,681.0,1.0
beta[EMPWRKFT1_A_2.0],-0.007,0.045,-0.118,0.088,0.001,0.001,1669.0,854.0,1.0
beta[EMPWRKFT1_A_7.0],-0.004,0.08,-0.207,0.129,0.003,0.002,1219.0,712.0,1.0
beta[EMPWRKFT1_A_8.0],-0.001,0.077,-0.158,0.17,0.003,0.002,1316.0,719.0,1.0
beta[EMPWRKFT1_A_9.0],-0.004,0.079,-0.174,0.126,0.003,0.002,1414.0,852.0,1.0
beta[EMPWRKLSW1_A_2.0],-0.01,0.044,-0.104,0.082,0.001,0.001,1233.0,844.0,1.0
beta[EMPWRKLSW1_A_9.0],-0.007,0.063,-0.165,0.085,0.002,0.001,1444.0,799.0,1.0
beta[SMKECIGST_A_2.0],0.02,0.048,-0.076,0.119,0.001,0.001,1244.0,840.0,1.0
beta[SMKECIGST_A_3.0],0.001,0.039,-0.084,0.083,0.001,0.001,1336.0,836.0,1.0
beta[SMKECIGST_A_9.0],-0.003,0.065,-0.167,0.113,0.002,0.002,1724.0,958.0,1.0
beta[SMKCIGST_A_2.0],0.005,0.054,-0.117,0.124,0.002,0.001,1557.0,797.0,1.0
beta[SMKCIGST_A_3.0],0.008,0.04,-0.069,0.095,0.001,0.001,1552.0,807.0,1.0
beta[SMKCIGST_A_4.0],0.0,0.039,-0.084,0.082,0.001,0.001,1634.0,1025.0,1.01
beta[SMKCIGST_A_5.0],0.001,0.071,-0.147,0.146,0.002,0.002,1422.0,791.0,1.0
beta[SMKCIGST_A_9.0],0.002,0.062,-0.131,0.138,0.002,0.002,1471.0,735.0,1.0
beta[BMICAT_A_2.0],-0.083,0.073,-0.241,0.02,0.002,0.002,766.0,946.0,1.0
beta[BMICAT_A_3.0],0.002,0.044,-0.098,0.093,0.001,0.001,914.0,976.0,1.0
beta[BMICAT_A_4.0],0.08,0.068,-0.02,0.216,0.003,0.002,653.0,1017.0,1.0
beta[BMICAT_A_9.0],0.002,0.06,-0.125,0.137,0.002,0.001,1294.0,704.0,1.0
beta[URGNT12MTC_A_1.0],-0.005,0.035,-0.079,0.069,0.001,0.001,1682.0,748.0,1.0
beta[URGNT12MTC_A_2.0],0.012,0.045,-0.092,0.102,0.001,0.001,1315.0,698.0,1.0
beta[URGNT12MTC_A_3.0],0.028,0.061,-0.076,0.168,0.002,0.001,1279.0,853.0,1.0
beta[URGNT12MTC_A_4.0],0.015,0.064,-0.113,0.163,0.002,0.002,1557.0,782.0,1.0
beta[URGNT12MTC_A_5.0],0.029,0.069,-0.078,0.16,0.002,0.002,1792.0,934.0,1.0
beta[URGNT12MTC_A_7.0],0.0,0.075,-0.162,0.165,0.002,0.002,1705.0,623.0,1.0
beta[URGNT12MTC_A_8.0],-0.008,0.066,-0.144,0.137,0.002,0.002,1619.0,716.0,1.01
beta[URGNT12MTC_A_9.0],-0.001,0.074,-0.146,0.184,0.002,0.002,1352.0,612.0,1.0
beta[EMERG12MTC_A_1.0],0.023,0.045,-0.059,0.123,0.001,0.001,1617.0,816.0,1.0
beta[EMERG12MTC_A_2.0],0.008,0.051,-0.104,0.119,0.001,0.001,1603.0,766.0,1.0
beta[EMERG12MTC_A_3.0],0.017,0.062,-0.092,0.16,0.002,0.001,1627.0,793.0,1.0
beta[EMERG12MTC_A_4.0],0.036,0.082,-0.108,0.222,0.003,0.002,1391.0,753.0,1.0
beta[EMERG12MTC_A_7.0],0.002,0.065,-0.117,0.163,0.002,0.001,1958.0,902.0,1.0
beta[EMERG12MTC_A_8.0],-0.007,0.067,-0.135,0.134,0.002,0.002,1256.0,745.0,1.0
beta[EMERG12MTC_A_9.0],-0.01,0.081,-0.163,0.161,0.002,0.002,1616.0,889.0,1.0
beta[PCNT18UPTC_2.0],-0.036,0.06,-0.165,0.059,0.002,0.002,896.0,797.0,1.0
beta[PCNT18UPTC_3.0],-0.012,0.053,-0.131,0.08,0.001,0.001,1960.0,976.0,1.01
beta[PCNTLT18TC_1.0],0.017,0.05,-0.073,0.123,0.001,0.001,1810.0,861.0,1.0
beta[PCNTLT18TC_2.0],-0.005,0.043,-0.1,0.091,0.001,0.001,1657.0,1028.0,1.0
beta[PCNTLT18TC_3.0],-0.007,0.049,-0.135,0.085,0.002,0.001,1203.0,773.0,1.0
beta[PHQ2SCREEN_A_2.0],-0.022,0.052,-0.153,0.062,0.001,0.001,1588.0,839.0,1.01
beta[PHQ2SCREEN_A_8.0],-0.018,0.077,-0.183,0.12,0.002,0.002,1481.0,681.0,1.0
beta[GAD2SCREEN_A_2.0],-0.002,0.044,-0.097,0.092,0.001,0.001,1631.0,822.0,1.0
beta[GAD2SCREEN_A_8.0],-0.021,0.081,-0.179,0.115,0.003,0.002,1398.0,992.0,1.0
beta[COVER_A_2.0],0.025,0.055,-0.073,0.147,0.001,0.001,1647.0,857.0,1.0
beta[COVER_A_3.0],0.004,0.052,-0.097,0.125,0.002,0.001,1770.0,763.0,1.0
beta[COVER_A_4.0],0.011,0.056,-0.103,0.135,0.002,0.001,1750.0,770.0,1.0
beta[COVER_A_5.0],-0.004,0.071,-0.133,0.163,0.002,0.002,1275.0,811.0,1.01
beta[EXCHANGE_A_2.0],-0.01,0.052,-0.134,0.092,0.002,0.001,1291.0,858.0,1.0
beta[NOTCOV_A_2.0],-0.009,0.052,-0.127,0.084,0.002,0.001,1347.0,800.0,1.0
beta[NOTCOV_A_9.0],-0.004,0.072,-0.147,0.133,0.002,0.002,1480.0,871.0,1.01
beta[PLNWRKR1_A_2.0],-0.028,0.056,-0.151,0.07,0.001,0.001,1590.0,801.0,1.0
beta[PLNWRKR1_A_3.0],0.001,0.056,-0.118,0.109,0.002,0.001,1426.0,610.0,1.0
beta[PLNWRKR1_A_4.0],0.006,0.065,-0.126,0.157,0.002,0.001,1672.0,904.0,1.0
beta[PLNWRKR1_A_5.0],0.009,0.1,-0.133,0.193,0.004,0.003,997.0,577.0,1.0
beta[PLNWRKR1_A_6.0],-0.01,0.088,-0.147,0.144,0.004,0.003,1378.0,690.0,1.0
beta[PLNWRKR1_A_7.0],-0.0,0.074,-0.13,0.172,0.002,0.002,1228.0,602.0,1.01
beta[PLNWRKR1_A_8.0],-0.0,0.074,-0.152,0.146,0.002,0.002,1300.0,889.0,1.0
beta[PLNWRKR1_A_97.0],-0.002,0.074,-0.147,0.165,0.002,0.002,1536.0,744.0,1.0
beta[PLNWRKR1_A_98.0],0.027,0.075,-0.08,0.215,0.002,0.002,1275.0,718.0,1.0
beta[PLNWRKR1_A_99.0],-0.004,0.066,-0.143,0.146,0.002,0.002,1486.0,395.0,1.0
beta[OTHGOV_A_3.0],0.0,0.064,-0.125,0.138,0.002,0.001,1890.0,863.0,1.0
beta[OTHGOV_A_7.0],-0.001,0.068,-0.157,0.131,0.003,0.002,958.0,617.0,1.01
beta[OTHGOV_A_9.0],-0.001,0.074,-0.149,0.141,0.003,0.002,1133.0,699.0,1.0
beta[OTHPUB_A_3.0],0.001,0.065,-0.12,0.137,0.002,0.002,1232.0,591.0,1.0
beta[OTHPUB_A_7.0],-0.001,0.07,-0.137,0.165,0.002,0.002,1341.0,909.0,1.0
beta[OTHPUB_A_9.0],-0.0,0.077,-0.159,0.157,0.002,0.002,1516.0,776.0,1.0
beta[IHS_A_2.0],0.019,0.075,-0.101,0.194,0.002,0.002,1482.0,828.0,1.0
beta[IHS_A_7.0],-0.004,0.074,-0.161,0.141,0.002,0.002,1856.0,758.0,1.0
beta[IHS_A_9.0],-0.001,0.075,-0.159,0.155,0.003,0.002,1380.0,642.0,1.0
beta[MILITARY_A_3.0],0.003,0.048,-0.114,0.1,0.001,0.001,1562.0,721.0,1.0
beta[MILITARY_A_7.0],0.0,0.064,-0.13,0.142,0.002,0.001,1591.0,896.0,1.01
beta[MILITARY_A_9.0],-0.004,0.077,-0.146,0.176,0.003,0.002,1355.0,681.0,1.0
beta[CHIP_A_3.0],0.0,0.068,-0.147,0.149,0.002,0.002,1392.0,702.0,1.0
beta[CHIP_A_7.0],-0.005,0.082,-0.138,0.166,0.003,0.002,1286.0,794.0,1.0
beta[CHIP_A_9.0],-0.005,0.071,-0.171,0.123,0.002,0.002,1160.0,665.0,1.0
beta[MEDICAID_A_2.0],-0.004,0.07,-0.14,0.149,0.002,0.002,1169.0,690.0,1.0
beta[MEDICAID_A_3.0],-0.001,0.045,-0.095,0.098,0.001,0.001,1486.0,616.0,1.0
beta[MEDICAID_A_7.0],0.002,0.068,-0.131,0.168,0.002,0.002,1698.0,696.0,1.0
beta[MEDICAID_A_9.0],-0.002,0.066,-0.171,0.13,0.002,0.002,1472.0,953.0,1.0
beta[MEDICARE_A_2.0],-0.004,0.076,-0.167,0.15,0.002,0.002,1661.0,889.0,1.0
beta[MEDICARE_A_3.0],0.058,0.085,-0.054,0.254,0.003,0.002,1014.0,817.0,1.0
beta[MEDICARE_A_7.0],0.004,0.071,-0.131,0.177,0.002,0.002,1490.0,805.0,1.0
beta[MEDICARE_A_9.0],-0.003,0.069,-0.151,0.136,0.002,0.002,1559.0,729.0,1.0
beta[PRIVATE_A_3.0],0.014,0.05,-0.088,0.114,0.001,0.001,1896.0,852.0,1.0
beta[PRIVATE_A_7.0],-0.005,0.078,-0.17,0.178,0.003,0.002,1426.0,807.0,1.0
beta[PRIVATE_A_9.0],0.0,0.07,-0.128,0.148,0.002,0.002,1291.0,832.0,1.0
beta[EXCHPR1_A_2.0],-0.008,0.038,-0.094,0.071,0.001,0.001,2094.0,728.0,1.0
beta[EXCHPR1_A_3.0],0.018,0.073,-0.13,0.177,0.002,0.002,1449.0,732.0,1.0
beta[EXCHPR1_A_8.0],-0.024,0.068,-0.165,0.089,0.002,0.001,1694.0,914.0,1.0
beta[EDUCP_A_2.0],0.019,0.065,-0.098,0.169,0.002,0.002,1861.0,943.0,1.0
beta[EDUCP_A_3.0],0.05,0.085,-0.054,0.261,0.003,0.002,1051.0,910.0,1.0
beta[EDUCP_A_4.0],-0.028,0.05,-0.137,0.06,0.001,0.001,1414.0,940.0,1.0
beta[EDUCP_A_5.0],0.052,0.064,-0.035,0.2,0.002,0.001,1334.0,773.0,1.0
beta[EDUCP_A_6.0],0.052,0.078,-0.068,0.224,0.002,0.002,1548.0,905.0,1.0
beta[EDUCP_A_7.0],-0.006,0.043,-0.121,0.071,0.001,0.001,1699.0,826.0,1.0
beta[EDUCP_A_8.0],0.019,0.044,-0.058,0.124,0.001,0.001,1588.0,976.0,1.0
beta[EDUCP_A_9.0],-0.028,0.062,-0.178,0.066,0.002,0.001,1576.0,1029.0,1.0
beta[EDUCP_A_10.0],-0.043,0.081,-0.24,0.071,0.002,0.002,1223.0,722.0,1.0
beta[EDUCP_A_97.0],-0.01,0.079,-0.191,0.112,0.003,0.002,1116.0,711.0,1.0
beta[EDUCP_A_99.0],0.004,0.072,-0.142,0.153,0.002,0.002,1480.0,778.0,1.0
beta[MAXEDUCP_A_2.0],0.046,0.096,-0.087,0.275,0.003,0.002,1396.0,895.0,1.0
beta[MAXEDUCP_A_3.0],0.024,0.075,-0.087,0.205,0.002,0.002,1399.0,859.0,1.0
beta[MAXEDUCP_A_4.0],0.014,0.048,-0.07,0.138,0.001,0.001,1721.0,848.0,1.0
beta[MAXEDUCP_A_5.0],0.022,0.05,-0.063,0.138,0.001,0.001,1213.0,920.0,1.0
beta[MAXEDUCP_A_6.0],0.02,0.061,-0.089,0.161,0.002,0.001,2081.0,878.0,1.0
beta[MAXEDUCP_A_7.0],0.008,0.043,-0.081,0.1,0.001,0.001,1024.0,649.0,1.0
beta[MAXEDUCP_A_8.0],-0.017,0.043,-0.106,0.07,0.001,0.001,1571.0,741.0,1.0
beta[MAXEDUCP_A_9.0],-0.052,0.067,-0.196,0.044,0.002,0.001,1268.0,899.0,1.0
beta[MAXEDUCP_A_10.0],-0.039,0.074,-0.221,0.068,0.002,0.001,1372.0,800.0,1.0
beta[PARSTAT_A_2.0],0.006,0.057,-0.116,0.132,0.002,0.001,1770.0,1030.0,1.01
beta[PARSTAT_A_3.0],-0.001,0.043,-0.092,0.089,0.001,0.001,1706.0,964.0,1.0
beta[PARSTAT_A_9.0],0.053,0.116,-0.092,0.336,0.004,0.003,1399.0,827.0,1.0
beta[SAPARENTSC_A_2.0],0.001,0.051,-0.116,0.103,0.001,0.001,1812.0,752.0,1.0
beta[SAPARENTSC_A_3.0],0.003,0.041,-0.086,0.099,0.001,0.001,1516.0,920.0,1.0
beta[SAPARENTSC_A_9.0],0.032,0.092,-0.129,0.229,0.003,0.002,1809.0,981.0,1.0
beta[MLTFAMFLG_A_2.0],0.006,0.053,-0.105,0.129,0.002,0.001,1806.0,878.0,1.0
beta[OVER65FLG_A_1.0],-0.038,0.056,-0.162,0.046,0.002,0.001,1238.0,861.0,1.0
beta[PCNTADLT_A_2.0],-0.07,0.076,-0.231,0.049,0.003,0.002,865.0,858.0,1.0
beta[PCNTADLT_A_3.0],-0.007,0.049,-0.125,0.086,0.001,0.001,1823.0,996.0,1.0
beta[PCNTKIDS_A_1.0],0.012,0.048,-0.081,0.12,0.001,0.001,1519.0,935.0,1.0
beta[PCNTKIDS_A_2.0],-0.012,0.045,-0.11,0.077,0.001,0.001,1766.0,745.0,1.01
beta[PCNTKIDS_A_3.0],-0.003,0.046,-0.102,0.093,0.001,0.001,1559.0,941.0,1.0
beta[NUMCAN_A_1.0],-0.002,0.044,-0.091,0.108,0.001,0.001,1547.0,848.0,1.0
beta[NUMCAN_A_2.0],-0.002,0.056,-0.129,0.118,0.002,0.001,1644.0,829.0,1.0
beta[NUMCAN_A_3.0],-0.026,0.097,-0.234,0.105,0.003,0.003,1642.0,862.0,1.0
beta[NUMCAN_A_4.0],0.002,0.079,-0.151,0.153,0.004,0.003,832.0,730.0,1.0
beta[NUMCAN_A_7.0],-0.002,0.07,-0.152,0.14,0.002,0.002,1446.0,896.0,1.0
beta[NUMCAN_A_9.0],-0.001,0.065,-0.138,0.147,0.002,0.001,1410.0,770.0,1.0
beta[HISDETP_A_2.0],-0.007,0.049,-0.121,0.093,0.001,0.001,1885.0,945.0,1.0
beta[HISDETP_A_3.0],-0.031,0.061,-0.177,0.055,0.002,0.001,1644.0,1021.0,1.0
beta[HISDETP_A_8.0],0.004,0.074,-0.148,0.155,0.002,0.002,1368.0,802.0,1.0
beta[HISDETP_A_9.0],-0.008,0.089,-0.162,0.181,0.003,0.002,1299.0,788.0,1.0
beta[HISP_A_2.0],-0.028,0.062,-0.17,0.077,0.002,0.001,1344.0,954.0,1.0
beta[REGION_2.0],0.01,0.037,-0.065,0.084,0.001,0.001,1640.0,879.0,1.0
beta[REGION_3.0],0.027,0.042,-0.037,0.127,0.001,0.001,1230.0,604.0,1.01
beta[REGION_4.0],-0.005,0.036,-0.085,0.069,0.001,0.001,1650.0,762.0,1.0
beta[INTV_QRT_2.0],0.008,0.04,-0.081,0.098,0.001,0.001,1388.0,920.0,1.0
beta[INTV_QRT_3.0],0.003,0.036,-0.073,0.083,0.001,0.001,1499.0,992.0,1.0
beta[INTV_QRT_4.0],-0.056,0.061,-0.182,0.034,0.002,0.001,912.0,962.0,1.0
beta[SEX_A_2.0],0.205,0.085,0.036,0.365,0.003,0.002,684.0,322.0,1.0
beta[SEX_A_7.0],0.01,0.082,-0.137,0.181,0.003,0.002,1527.0,889.0,1.0
beta[SEX_A_9.0],0.004,0.095,-0.174,0.164,0.003,0.002,1664.0,644.0,1.0
beta[ASTATNEW_5.0],-0.005,0.068,-0.143,0.147,0.002,0.002,1913.0,1119.0,1.0
beta[CEVOTELC_A_2.0],-0.065,0.057,-0.177,0.021,0.002,0.001,1003.0,801.0,1.0
