,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[MHTHRPY_A_7.0],0.001,0.066,-0.164,0.116,0.002,0.002,1414.0,796.0,1.0
beta[MHTHRPY_A_8.0],0.001,0.074,-0.142,0.136,0.003,0.002,1218.0,723.0,1.0
beta[MHTHRPY_A_9.0],0.003,0.075,-0.144,0.134,0.002,0.002,2016.0,991.0,1.0
beta[MHRX_A_2.0],0.0,0.05,-0.108,0.105,0.001,0.001,1860.0,884.0,1.0
beta[MHRX_A_7.0],-0.005,0.068,-0.152,0.115,0.002,0.002,1601.0,506.0,1.0
beta[MHRX_A_8.0],-0.001,0.074,-0.157,0.151,0.002,0.002,2013.0,939.0,1.01
beta[MHRX_A_9.0],0.003,0.074,-0.138,0.138,0.002,0.002,1415.0,769.0,1.0
beta[DEPLEVEL_A_2.0],0.021,0.052,-0.068,0.143,0.002,0.001,1438.0,716.0,1.0
beta[DEPLEVEL_A_3.0],0.078,0.068,-0.019,0.216,0.002,0.001,1166.0,987.0,1.0
beta[DEPLEVEL_A_7.0],-0.005,0.07,-0.17,0.13,0.002,0.002,1286.0,825.0,1.0
beta[DEPLEVEL_A_8.0],0.001,0.066,-0.122,0.134,0.002,0.002,1492.0,814.0,1.0
beta[DEPLEVEL_A_9.0],-0.019,0.091,-0.205,0.116,0.003,0.003,1414.0,840.0,1.0
beta[DEPMED_A_2.0],0.013,0.043,-0.065,0.115,0.001,0.001,1471.0,794.0,1.0
beta[DEPMED_A_7.0],0.001,0.069,-0.124,0.145,0.002,0.002,1393.0,797.0,1.0
beta[DEPMED_A_8.0],0.001,0.075,-0.167,0.152,0.002,0.002,1428.0,729.0,1.0
beta[DEPMED_A_9.0],-0.01,0.074,-0.198,0.122,0.003,0.002,1311.0,686.0,1.0
beta[DEPFREQ_A_2.0],0.013,0.048,-0.074,0.126,0.001,0.001,1548.0,826.0,1.0
beta[DEPFREQ_A_3.0],-0.013,0.048,-0.122,0.077,0.001,0.001,1500.0,780.0,1.0
beta[DEPFREQ_A_4.0],0.001,0.035,-0.08,0.071,0.001,0.001,1484.0,1004.0,1.0
beta[DEPFREQ_A_5.0],-0.036,0.053,-0.15,0.045,0.001,0.001,1433.0,998.0,1.0
beta[DEPFREQ_A_7.0],0.004,0.071,-0.133,0.182,0.002,0.002,1333.0,622.0,1.0
beta[DEPFREQ_A_8.0],-0.003,0.072,-0.153,0.14,0.003,0.002,1314.0,697.0,1.0
beta[DEPFREQ_A_9.0],-0.02,0.078,-0.21,0.109,0.003,0.002,1139.0,695.0,1.0
beta[ANXLEVEL_A_2.0],0.039,0.059,-0.05,0.179,0.002,0.001,1136.0,793.0,1.0
beta[ANXLEVEL_A_3.0],0.006,0.036,-0.07,0.082,0.001,0.001,1613.0,763.0,1.0
beta[ANXLEVEL_A_7.0],-0.006,0.067,-0.145,0.144,0.002,0.002,1184.0,795.0,1.0
beta[ANXLEVEL_A_8.0],0.003,0.074,-0.137,0.133,0.002,0.002,1379.0,676.0,1.0
beta[ANXLEVEL_A_9.0],-0.012,0.079,-0.214,0.116,0.002,0.002,1551.0,616.0,1.0
beta[ANXMED_A_2.0],0.007,0.042,-0.079,0.098,0.001,0.001,1827.0,997.0,1.0
beta[ANXMED_A_7.0],-0.007,0.074,-0.172,0.136,0.002,0.002,1355.0,801.0,1.0
beta[ANXMED_A_8.0],-0.004,0.068,-0.149,0.137,0.002,0.002,1527.0,856.0,1.0
beta[ANXMED_A_9.0],-0.005,0.077,-0.17,0.158,0.003,0.002,1314.0,751.0,1.0
beta[ANXFREQ_A_2.0],-0.025,0.048,-0.141,0.052,0.001,0.001,1112.0,670.0,1.0
beta[ANXFREQ_A_3.0],-0.029,0.051,-0.147,0.055,0.001,0.001,1731.0,999.0,1.0
beta[ANXFREQ_A_4.0],0.027,0.044,-0.035,0.132,0.001,0.001,1203.0,782.0,1.0
beta[ANXFREQ_A_5.0],-0.024,0.048,-0.132,0.057,0.001,0.001,1602.0,739.0,1.0
beta[ANXFREQ_A_7.0],-0.002,0.07,-0.156,0.139,0.002,0.002,1333.0,693.0,1.01
beta[ANXFREQ_A_8.0],-0.005,0.064,-0.134,0.134,0.002,0.002,1212.0,782.0,1.01
